annotation_id,recorded_source_url,subject_source_url,source_relationship,support_scope_note,source_caution_codes
K213603:input,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202238.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary supports unchanged image-processing/software continuity, but does not name AIR Recon DL or restate its operator choices. The AIR-specific details remain associated-source evidence, not direct statements in K213603.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K213603:output,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202238.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary supports unchanged image-processing/software continuity, but does not name AIR Recon DL or restate its operator choices. The AIR-specific details remain associated-source evidence, not direct statements in K213603.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K213603:user,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202238.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary supports unchanged image-processing/software continuity, but does not name AIR Recon DL or restate its operator choices. The AIR-specific details remain associated-source evidence, not direct statements in K213603.",FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION;FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K213938:action,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212067.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,EXPLICIT_FEATURE_CARRYOVER,The current document explicitly carries over the cited DLIR feature unchanged. The associated PDF supplies detailed raw-data/reconstruction/selection descriptions. This positive bridge does not validate an exhaustive NOT_STATED user label or all setting interpretations.,
K213938:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212067.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,EXPLICIT_FEATURE_CARRYOVER,The current document explicitly carries over the cited DLIR feature unchanged. The associated PDF supplies detailed raw-data/reconstruction/selection descriptions. This positive bridge does not validate an exhaustive NOT_STATED user label or all setting interpretations.,FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED
K213938:input,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212067.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,EXPLICIT_FEATURE_CARRYOVER,The current document explicitly carries over the cited DLIR feature unchanged. The associated PDF supplies detailed raw-data/reconstruction/selection descriptions. This positive bridge does not validate an exhaustive NOT_STATED user label or all setting interpretations.,
K213938:output,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212067.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,EXPLICIT_FEATURE_CARRYOVER,The current document explicitly carries over the cited DLIR feature unchanged. The associated PDF supplies detailed raw-data/reconstruction/selection descriptions. This positive bridge does not validate an exhaustive NOT_STATED user label or all setting interpretations.,
K213938:setting,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212067.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,EXPLICIT_FEATURE_CARRYOVER,The current document explicitly carries over the cited DLIR feature unchanged. The associated PDF supplies detailed raw-data/reconstruction/selection descriptions. This positive bridge does not validate an exhaustive NOT_STATED user label or all setting interpretations.,FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION
K213938:user,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K212067.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,EXPLICIT_FEATURE_CARRYOVER,The current document explicitly carries over the cited DLIR feature unchanged. The associated PDF supplies detailed raw-data/reconstruction/selection descriptions. This positive bridge does not validate an exhaustive NOT_STATED user label or all setting interpretations.,FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION;NEGATIVE_SOURCE_LABEL_NOT_VALIDATED_BY_POSITIVE_BRIDGE
K220043:action,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211824.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,CURRENT_FEATURE_LIST_WITH_MODIFIED_AI_MODULES,"The subject-side table lists HeartAssist, so the associated source is not an unexplained product substitution. However, starred HeartAssist is HERA W10-only, and current BiometryAssist/ViewAssist are expanded AI versions. The old HeartAssist passage is not a complete source for all current output codes or for every W9/W10 configuration.",CONFIGURATION_VARIATION_NOT_RESOLVED;MODIFIED_FEATURES_NOT_BLANKET_UNCHANGED;MULTILABEL_QUOTE_NOT_EXHAUSTIVE
K220043:input,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211824.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,CURRENT_FEATURE_LIST_WITH_MODIFIED_AI_MODULES,"The subject-side table lists HeartAssist, so the associated source is not an unexplained product substitution. However, starred HeartAssist is HERA W10-only, and current BiometryAssist/ViewAssist are expanded AI versions. The old HeartAssist passage is not a complete source for all current output codes or for every W9/W10 configuration.",CONFIGURATION_VARIATION_NOT_RESOLVED;MODIFIED_FEATURES_NOT_BLANKET_UNCHANGED;MULTILABEL_QUOTE_NOT_EXHAUSTIVE
K220043:output,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211824.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,CURRENT_FEATURE_LIST_WITH_MODIFIED_AI_MODULES,"The subject-side table lists HeartAssist, so the associated source is not an unexplained product substitution. However, starred HeartAssist is HERA W10-only, and current BiometryAssist/ViewAssist are expanded AI versions. The old HeartAssist passage is not a complete source for all current output codes or for every W9/W10 configuration.",CONFIGURATION_VARIATION_NOT_RESOLVED;MODIFIED_FEATURES_NOT_BLANKET_UNCHANGED;MULTILABEL_QUOTE_NOT_EXHAUSTIVE
K220141:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220141.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,The documented chain is K220141 -> K211867 -> K210645 -> K200569. Each current/intermediate summary states unchanged machine learning. Other software additions must not be mistaken for unchanged AI modules. The subject also markets a limited-license RayPlan configuration; the associated description does not guarantee that every configuration contains all coded functions.,CONFIGURATION_VARIATION_NOT_RESOLVED;FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED;MULTI_HOP_CHAIN_REQUIRED
K220141:input,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220141.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,The documented chain is K220141 -> K211867 -> K210645 -> K200569. Each current/intermediate summary states unchanged machine learning. Other software additions must not be mistaken for unchanged AI modules. The subject also markets a limited-license RayPlan configuration; the associated description does not guarantee that every configuration contains all coded functions.,CONFIGURATION_VARIATION_NOT_RESOLVED;MULTI_HOP_CHAIN_REQUIRED
K220141:output,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220141.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,The documented chain is K220141 -> K211867 -> K210645 -> K200569. Each current/intermediate summary states unchanged machine learning. Other software additions must not be mistaken for unchanged AI modules. The subject also markets a limited-license RayPlan configuration; the associated description does not guarantee that every configuration contains all coded functions.,CONFIGURATION_VARIATION_NOT_RESOLVED;MULTI_HOP_CHAIN_REQUIRED
K220141:user,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220141.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,The documented chain is K220141 -> K211867 -> K210645 -> K200569. Each current/intermediate summary states unchanged machine learning. Other software additions must not be mistaken for unchanged AI modules. The subject also markets a limited-license RayPlan configuration; the associated description does not guarantee that every configuration contains all coded functions.,CONFIGURATION_VARIATION_NOT_RESOLVED;FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION;MULTI_HOP_CHAIN_REQUIRED
K221680:input,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201103.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221680.pdf,EXPLICIT_RETAINED_FEATURES_AND_ADDED_APPLICATIONS,"Retention of the predicate feature set is explicit, and current Q.Thera AI supplies direct medical-image and segmentation/dosimetry context. Added Generate Planar creates derived images, but this review does not newly classify that application as AI. The old lung/kidney-segmentation excerpt alone does not exhaust the three retained output labels.",MULTILABEL_QUOTE_NOT_EXHAUSTIVE;NEW_APPLICATION_AI_ATTRIBUTION_NOT_INFERRED
K221680:output,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201103.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221680.pdf,EXPLICIT_RETAINED_FEATURES_AND_ADDED_APPLICATIONS,"Retention of the predicate feature set is explicit, and current Q.Thera AI supplies direct medical-image and segmentation/dosimetry context. Added Generate Planar creates derived images, but this review does not newly classify that application as AI. The old lung/kidney-segmentation excerpt alone does not exhaust the three retained output labels.",MULTILABEL_QUOTE_NOT_EXHAUSTIVE;NEW_APPLICATION_AI_ATTRIBUTION_NOT_INFERRED
K250543:action,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242168.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250543.pdf,EXPLICIT_AI_FEATURE_MIGRATION,SonoLyst Live is explicitly migrated unchanged. Its older traffic-light and test-input descriptions remain in the source feature document; validation image-file formats should not be described as newly observed clinical deployment formats.,VALIDATION_INPUT_CONTEXT_NOT_DEPLOYMENT_OBSERVATION
K250543:input,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242168.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250543.pdf,EXPLICIT_AI_FEATURE_MIGRATION,SonoLyst Live is explicitly migrated unchanged. Its older traffic-light and test-input descriptions remain in the source feature document; validation image-file formats should not be described as newly observed clinical deployment formats.,VALIDATION_INPUT_CONTEXT_NOT_DEPLOYMENT_OBSERVATION
K250543:output,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K242168.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250543.pdf,EXPLICIT_AI_FEATURE_MIGRATION,SonoLyst Live is explicitly migrated unchanged. Its older traffic-light and test-input descriptions remain in the source feature document; validation image-file formats should not be described as newly observed clinical deployment formats.,VALIDATION_INPUT_CONTEXT_NOT_DEPLOYMENT_OBSERVATION
K250877:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243481.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250877.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The subject summary describes a bounded set of software changes relative to K243481, but does not restate the closed machine-learning segmentation model. This supports a documented product/software relationship, not a newly demonstrated complete current AI-function inventory.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY;FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED;SINGLE_FUNCTION_EXHAUSTIVENESS_NOT_REVALIDATED
K251399:action,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183231.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251399.pdf,EXPLICIT_NAMED_AI_FEATURE_ADOPTION,"The current summary explicitly names both source authorizations as adopted AI features. The Sonic DL passage supplies reconstruction detail, whereas AIRx supplies workflow/planning context. A one-feature quotation must not be represented as complete evidence for all three output labels.",MULTILABEL_QUOTE_NOT_EXHAUSTIVE
K251399:input,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K223523.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251399.pdf,EXPLICIT_NAMED_AI_FEATURE_ADOPTION,"The current summary explicitly names both source authorizations as adopted AI features. The Sonic DL passage supplies reconstruction detail, whereas AIRx supplies workflow/planning context. A one-feature quotation must not be represented as complete evidence for all three output labels.",MULTILABEL_QUOTE_NOT_EXHAUSTIVE
K251399:output,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K223523.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251399.pdf,EXPLICIT_NAMED_AI_FEATURE_ADOPTION,"The current summary explicitly names both source authorizations as adopted AI features. The Sonic DL passage supplies reconstruction detail, whereas AIRx supplies workflow/planning context. A one-feature quotation must not be represented as complete evidence for all three output labels.",MULTILABEL_QUOTE_NOT_EXHAUSTIVE
K251901:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230854.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251901.pdf,EXPLICIT_INTEGRATION_OUTSIDE_CURRENT_SUBMISSION_SCOPE,"The current subject explicitly integrates a separately cleared MRI-enhancement algorithm unchanged and expressly states that the algorithm is outside this submission’s scope. Retained feature labels describe integrated functionality, not a new AI authorization in K251901. SwiftMR-specific users/settings cannot automatically be generalized to all scanner configurations.",AI_FEATURE_EXPLICITLY_OUTSIDE_CURRENT_SUBMISSION_SCOPE;FEATURE_CONTEXT_NOT_WHOLE_DEVICE_CONTEXT;FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED;INTEGRATED_FEATURE_NOT_NEW_AI_CLEARANCE
K251901:input,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230854.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251901.pdf,EXPLICIT_INTEGRATION_OUTSIDE_CURRENT_SUBMISSION_SCOPE,"The current subject explicitly integrates a separately cleared MRI-enhancement algorithm unchanged and expressly states that the algorithm is outside this submission’s scope. Retained feature labels describe integrated functionality, not a new AI authorization in K251901. SwiftMR-specific users/settings cannot automatically be generalized to all scanner configurations.",AI_FEATURE_EXPLICITLY_OUTSIDE_CURRENT_SUBMISSION_SCOPE;FEATURE_CONTEXT_NOT_WHOLE_DEVICE_CONTEXT;INTEGRATED_FEATURE_NOT_NEW_AI_CLEARANCE
K251901:output,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230854.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251901.pdf,EXPLICIT_INTEGRATION_OUTSIDE_CURRENT_SUBMISSION_SCOPE,"The current subject explicitly integrates a separately cleared MRI-enhancement algorithm unchanged and expressly states that the algorithm is outside this submission’s scope. Retained feature labels describe integrated functionality, not a new AI authorization in K251901. SwiftMR-specific users/settings cannot automatically be generalized to all scanner configurations.",AI_FEATURE_EXPLICITLY_OUTSIDE_CURRENT_SUBMISSION_SCOPE;FEATURE_CONTEXT_NOT_WHOLE_DEVICE_CONTEXT;INTEGRATED_FEATURE_NOT_NEW_AI_CLEARANCE
K251901:setting,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230854.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251901.pdf,EXPLICIT_INTEGRATION_OUTSIDE_CURRENT_SUBMISSION_SCOPE,"The current subject explicitly integrates a separately cleared MRI-enhancement algorithm unchanged and expressly states that the algorithm is outside this submission’s scope. Retained feature labels describe integrated functionality, not a new AI authorization in K251901. SwiftMR-specific users/settings cannot automatically be generalized to all scanner configurations.",AI_FEATURE_EXPLICITLY_OUTSIDE_CURRENT_SUBMISSION_SCOPE;FEATURE_CONTEXT_NOT_WHOLE_DEVICE_CONTEXT;FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION;INTEGRATED_FEATURE_NOT_NEW_AI_CLEARANCE
K251901:user,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230854.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251901.pdf,EXPLICIT_INTEGRATION_OUTSIDE_CURRENT_SUBMISSION_SCOPE,"The current subject explicitly integrates a separately cleared MRI-enhancement algorithm unchanged and expressly states that the algorithm is outside this submission’s scope. Retained feature labels describe integrated functionality, not a new AI authorization in K251901. SwiftMR-specific users/settings cannot automatically be generalized to all scanner configurations.",AI_FEATURE_EXPLICITLY_OUTSIDE_CURRENT_SUBMISSION_SCOPE;FEATURE_CONTEXT_NOT_WHOLE_DEVICE_CONTEXT;FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION;INTEGRATED_FEATURE_NOT_NEW_AI_CLEARANCE
K252371:action,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243397.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252371.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary documents hardware/mobile modifications and general functional continuity, but does not name uVision, ACS, or the camera AI feature. Those detailed AI-input/output/function-count claims remain associated-source claims; broad substantial equivalence is not a direct feature-level restatement.",CAMERA_AI_DETAIL_NOT_RESTATED;FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K252371:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243397.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252371.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary documents hardware/mobile modifications and general functional continuity, but does not name uVision, ACS, or the camera AI feature. Those detailed AI-input/output/function-count claims remain associated-source claims; broad substantial equivalence is not a direct feature-level restatement.",CAMERA_AI_DETAIL_NOT_RESTATED;FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY;FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED
K252371:input,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243397.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252371.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary documents hardware/mobile modifications and general functional continuity, but does not name uVision, ACS, or the camera AI feature. Those detailed AI-input/output/function-count claims remain associated-source claims; broad substantial equivalence is not a direct feature-level restatement.",CAMERA_AI_DETAIL_NOT_RESTATED;FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K252371:output,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243397.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252371.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary documents hardware/mobile modifications and general functional continuity, but does not name uVision, ACS, or the camera AI feature. Those detailed AI-input/output/function-count claims remain associated-source claims; broad substantial equivalence is not a direct feature-level restatement.",CAMERA_AI_DETAIL_NOT_RESTATED;FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K252992:action,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232491.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252992.pdf,EXPLICIT_NAMED_FEATURE_REUSE,"The current comparison lists Precise Position and identifies unchanged legacy software reuse including K232491. The older source supplies the camera and positioning details; preserve its feature-specific age restrictions, which are not interchangeable with the whole-scanner indications.",
K252992:input,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232491.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252992.pdf,EXPLICIT_NAMED_FEATURE_REUSE,"The current comparison lists Precise Position and identifies unchanged legacy software reuse including K232491. The older source supplies the camera and positioning details; preserve its feature-specific age restrictions, which are not interchangeable with the whole-scanner indications.",
K252992:output,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232491.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252992.pdf,EXPLICIT_NAMED_FEATURE_REUSE,"The current comparison lists Precise Position and identifies unchanged legacy software reuse including K232491. The older source supplies the camera and positioning details; preserve its feature-specific age restrictions, which are not interchangeable with the whole-scanner indications.",
K253370:output,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K231989.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253370.pdf,EXPLICIT_AI_FEATURE_MIGRATION,Current adoption and unchanged inference of Auto Renal Measure Assistant are explicit. The old source supplies the renal-dimension detail. This resolves the source relationship without asserting new semantic validation of the segmentation-versus-measurement distinction.,
K253516:action,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251221.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253516.pdf,GENERAL_FIRMWARE_CONTINUITY_FEATURE_NOT_RESTATED,The current summary supports firmware/algorithm-validation continuity with K251221 and directly describes EGM storage and monitor/diagnose/document functions. It does not name CARE-AF/CARE-Pause or restate their true/false classification; those details remain linked-source evidence.,FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K253516:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251221.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253516.pdf,GENERAL_FIRMWARE_CONTINUITY_FEATURE_NOT_RESTATED,The current summary supports firmware/algorithm-validation continuity with K251221 and directly describes EGM storage and monitor/diagnose/document functions. It does not name CARE-AF/CARE-Pause or restate their true/false classification; those details remain linked-source evidence.,FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY;FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED
K253516:input,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251221.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253516.pdf,GENERAL_FIRMWARE_CONTINUITY_FEATURE_NOT_RESTATED,The current summary supports firmware/algorithm-validation continuity with K251221 and directly describes EGM storage and monitor/diagnose/document functions. It does not name CARE-AF/CARE-Pause or restate their true/false classification; those details remain linked-source evidence.,FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K253516:output,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251221.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253516.pdf,GENERAL_FIRMWARE_CONTINUITY_FEATURE_NOT_RESTATED,The current summary supports firmware/algorithm-validation continuity with K251221 and directly describes EGM storage and monitor/diagnose/document functions. It does not name CARE-AF/CARE-Pause or restate their true/false classification; those details remain linked-source evidence.,FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K253625:input,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250901.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253625.pdf,GENERAL_PERFORMANCE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary states unchanged imaging-performance parameters relative to K250901, but does not name PIQE or restate its low-to-high matrix mapping. This is weaker than explicit unchanged-AI-feature carryover; the current source alone does not directly establish the PIQE-specific input/output claim.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY;PERFORMANCE_CONTINUITY_NOT_FEATURE_LEVEL_PROOF
K253625:output,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250901.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253625.pdf,GENERAL_PERFORMANCE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary states unchanged imaging-performance parameters relative to K250901, but does not name PIQE or restate its low-to-high matrix mapping. This is weaker than explicit unchanged-AI-feature carryover; the current source alone does not directly establish the PIQE-specific input/output claim.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY;PERFORMANCE_CONTINUITY_NOT_FEATURE_LEVEL_PROOF
